date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:24:11	17/17	---M--	200	added ('OK')	application/x-javascript	etag:%2211-66fbe4b9-d1793fefb4327fd;;;%22	https://geetauniversity.com/assets/js/icons/feather-icon/feather-icon.js	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/js/icons/feather-icon/feather-icon.js	(from https://geetauniversity.com/login)
07:24:11	8331/8331	---M-Z	200	added ('OK')	application/x-javascript	etag:%22208b-66fbe4b9-b8e8d785aaf14ff9;gz%22	https://geetauniversity.com/assets/js/sidebar-menu.js	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/js/sidebar-menu.js	(from https://geetauniversity.com/login)
07:24:11	417/417	---M-Z	200	added ('OK')	application/x-javascript	etag:%221a1-66fbe4b9-53e3f649f43fed0d;gz%22	https://geetauniversity.com/assets/js/tooltip-init.js	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/js/tooltip-init.js	(from https://geetauniversity.com/login)
07:24:12	5411/5411	---M-Z	200	added ('OK')	application/x-javascript	etag:%221523-66fbe4b9-bf02f18e236dd4d7;gz%22	https://geetauniversity.com/assets/js/script.js?v=5	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/js/scriptae52.js	(from https://geetauniversity.com/login)
07:24:12	2882/2882	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b42-67139a69-38f08945ff3a576b;gz%22	https://geetauniversity.com/assets/js/noprint.js?v=3	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/js/noprint30f4.js	(from https://geetauniversity.com/login)
07:24:12	2129/2129	---M-Z	200	added ('OK')	application/x-javascript	etag:%22851-66fbe4b9-203d7be742057d5c;gz%22	https://geetauniversity.com/assets/js/hmt_custom.js	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/js/hmt_custom.js	(from https://geetauniversity.com/login)
07:24:14	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-66fbe4b9-a2f438316eccdbe0;gz%22	https://geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont.eot?	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfontd41d.eot	(from https://geetauniversity.com/assets/css/fontawesome.css)
07:24:17	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-66fbe4b9-e97cd261d07be7ec;;;%22	https://geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont3e6e.woff2	(from https://geetauniversity.com/assets/css/fontawesome.css)
07:24:17	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-66fbe4b9-a2f438316eccdbe0;gz%22	https://geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont3e6e.eot	(from https://geetauniversity.com/assets/css/fontawesome.css)
07:24:18	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2217ee8-66fbe4b9-a11123c7a1aabcda;;;%22	https://geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont3e6e.woff	(from https://geetauniversity.com/assets/css/fontawesome.css)
07:24:22	165548/165548	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22286ac-66fbe4b9-a7b1cd25997ce6d5;gz%22	https://geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont3e6e.ttf	(from https://geetauniversity.com/assets/css/fontawesome.css)
07:24:23	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:%226c7db-66fbe4b9-73eabda26707e8a9;gz%22	https://geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/fonts/font-awesome/fontawesome-webfont3e6e.svg	(from https://geetauniversity.com/assets/css/fontawesome.css)
07:24:23	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:22%20GMT	https://geetauniversity.com/assets/images/other-images/maintenance-bg.jpg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/other-images/maintenance-bg.jpg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:23	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:22%20GMT	https://geetauniversity.com/assets/images/other-images/coming-soon-bg.jpg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/other-images/coming-soon-bg.jpg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:23	914/914	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Apr%202025%2001:54:22%20GMT	https://geetauniversity.com/assets/images/details_open.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/details_open.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:24	857/857	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Apr%202025%2001:54:22%20GMT	https://geetauniversity.com/assets/images/details_close.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/details_close.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:25	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:24%20GMT	https://geetauniversity.com/assets/images/sidebar-pattern/1.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-pattern/1.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:25	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:24%20GMT	https://geetauniversity.com/assets/images/sidebar-image/1.jpg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-image/1.jpg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:25	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:24%20GMT	https://geetauniversity.com/assets/images/sidebar-pattern/2.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-pattern/2.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:25	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:24%20GMT	https://geetauniversity.com/assets/images/sidebar-image/2.jpg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-image/2.jpg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:26	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:25%20GMT	https://geetauniversity.com/assets/images/sidebar-pattern/3.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-pattern/3.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:26	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:25%20GMT	https://geetauniversity.com/assets/images/sidebar-image/3.jpg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-image/3.jpg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:26	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:25%20GMT	https://geetauniversity.com/assets/images/sidebar-pattern/4.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-pattern/4.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:27	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:25%20GMT	https://geetauniversity.com/assets/images/sidebar-image/4.jpg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-image/4.jpg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:27	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:26%20GMT	https://geetauniversity.com/assets/images/sidebar-pattern/5.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-pattern/5.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:27	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:26%20GMT	https://geetauniversity.com/assets/images/sidebar-image/5.jpg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-image/5.jpg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:27	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:26%20GMT	https://geetauniversity.com/assets/images/sidebar-pattern/6.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-pattern/6.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:28	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:27%20GMT	https://geetauniversity.com/assets/images/sidebar-image/6.jpg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sidebar-image/6.jpg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:28	3327/3327	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Apr%202025%2001:54:27%20GMT	https://geetauniversity.com/assets/images/bg.jpeg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/bg.jpg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:28	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:27%20GMT	https://geetauniversity.com/assets/images/other-images/mobile-clock-wallpaper.jpg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/other-images/mobile-clock-wallpaper.jpg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:29	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:27%20GMT	https://geetauniversity.com/assets/images/other-images/clock-face.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/other-images/clock-face.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:29	246/246	---M--	200	added ('OK')	image/svg+xml	etag:%22f6-66fbfdb1-cbcc0b48592ac1ef;;;%22	https://geetauniversity.com/assets/images/sec.svg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/sec.svg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:29	178/178	---M--	200	added ('OK')	image/svg+xml	etag:%22b2-66fbfdb2-38ec680535326a0d;;;%22	https://geetauniversity.com/assets/images/min.svg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/min.svg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:30	178/178	---M--	200	added ('OK')	image/svg+xml	etag:%22b2-66fbfdb3-9273507cb5dbf132;;;%22	https://geetauniversity.com/assets/images/hour.svg	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/hour.svg	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:30	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:29%20GMT	https://geetauniversity.com/assets/images/other-images/calender-bg.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/other-images/calender-bg.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:30	20/20	---M--	422	error ('Unprocessable%20Entity')	text/plain	date:Mon,%2028%20Apr%202025%2001:54:29%20GMT	https://geetauniversity.com/assets/images/dashboard-2/target1.png	C:/My%20Web%20Sites/clone/geetauniversity.com/assets/images/dashboard-2/target1.png	(from https://geetauniversity.com/assets/css/style.css?v=3)
07:24:43	445592/445592	---M--	200	added ('OK')	image/jpeg	etag:%226cc98-66fd0916-df85b5b466b24f44;;;%22	https://eflow.geetauniversity.com/assets/images/student/student_217_20231225184352.jpeg	C:/My%20Web%20Sites/clone/eflow.geetauniversity.com/assets/images/student/student_217_20231225184352.jpg	(from https://geetauniversity.com/login)
07:25:05	819801/819801	---M--	200	added ('OK')	image/jpeg	etag:%22c8259-66fd09ff-a0f84e9dc6f8f2b5;;;%22	https://eflow.geetauniversity.com/assets/images/student/student_photograph20240903161340.jpg	C:/My%20Web%20Sites/clone/eflow.geetauniversity.com/assets/images/student/student_photograph20240903161340.jpg	(from https://geetauniversity.com/login)
